source_type,rainfall_24h_mm,temperature_C,dissolved_oxygen_mgL,chlorine_mgL,month,fecal_coliform_MPN,season,pH,turbidity_NTU,persons_with_symptoms,risk_percent
community_tank,4.944,23.729,7.905,0.537,12,43.773,Winter,5.294,4.945,4,82.57
piped_protected,19.92,18.391,7.81,0.125,12,44.95,Winter,7.466,15.526,5,53.833
reservoir,26.488,29.002,7.004,0.369,2,6.213,Winter,6.938,11.125,3,35.659
rooftop_rainwater,3.616,25.8,5.914,0.087,7,9.347,Monsoon,7.305,20.796,1,55.292
pond,19.946,25.836,6.959,0.959,11,17.335,Autumn,7.489,21.592,3,40.207
community_tank,15.211,24.304,6.289,0.751,11,22.405,Autumn,7.444,12.801,1,30.307
spring,26.709,27.433,7.395,0.621,6,36.023,Monsoon,7.823,23.06,4,62.238
canal,2.82,27.814,7.634,0.205,7,20.347,Monsoon,7.731,13.18,0,39.186
community_tank,8.603,28.114,4.044,0.334,3,19.501,Summer,7.611,2.377,1,26.875
reservoir,3.21,25.806,7.506,0.144,4,109.905,Summer,7.26,15.326,2,49.3
reservoir,17.378,20.872,11.388,0.536,11,122.844,Autumn,6.751,3.846,1,32.876
rooftop_rainwater,0.053,26.216,6.525,0.821,6,58.459,Monsoon,7.345,7.565,4,23.125
pond,8.32,25.802,8.483,0.019,3,15.746,Summer,7.511,14.15,5,32.224
piped_protected,4.143,23.354,8.113,0.103,12,48.585,Winter,6.766,6.415,2,23.385
rooftop_rainwater,3.896,22.594,4.537,0.229,1,114.455,Winter,7.746,5.927,0,37.205
rooftop_rainwater,10.354,26.629,7.747,0.714,6,25.176,Monsoon,8.007,3.539,4,19.998
canal,19.071,24.772,5.739,0.894,10,121.755,Autumn,7.132,11.351,1,37.807
deep_borehole,9.395,23.83,6.704,0.753,11,219.993,Autumn,7.326,5.097,2,48.265
pond,19.185,30.017,4.811,0.525,10,84.5,Autumn,7.435,30.101,2,96.454
shallow_well,3.073,27.015,7.663,0.105,2,59.311,Winter,7.551,22.877,1,63.114
rooftop_rainwater,7.329,26.304,6.488,0.755,7,45.234,Monsoon,6.951,12.041,4,33.889
deep_borehole,5.988,28.655,9.018,0.106,5,60.145,Summer,7.553,0.361,1,26.871
shallow_well,0.117,25.991,4.961,0.348,1,48.558,Winter,7.891,17.845,5,38.843
pond,8.138,22.888,8.363,0.308,9,9.708,Monsoon,7.156,24.18,1,61.995
open_catchment,10.833,23.831,7.632,0.359,2,120.296,Winter,7.9,22.166,1,66.449
spring,8.963,27.196,5.713,0.33,2,34.922,Winter,6.355,25.194,1,79.481
deep_borehole,13.329,26.875,4.682,0.769,10,363.184,Autumn,7.752,24.531,1,100.0
river,8.471,26.339,6.565,0.172,10,504.425,Autumn,8.159,2.414,1,95.514
open_catchment,0.691,21.587,7.355,0.846,4,25.05,Summer,7.8,15.686,2,32.239
reservoir,1.238,27.44,5.402,0.858,2,39.286,Winter,7.851,9.791,1,29.812
reservoir,9.075,24.805,5.576,0.491,10,21.002,Autumn,8.309,7.473,1,25.898
spring,3.216,26.8,8.486,0.106,6,12.606,Monsoon,7.766,13.13,1,34.906
canal,0.83,22.51,5.828,0.575,5,30.316,Summer,6.814,13.763,1,35.264
community_tank,5.614,30.898,7.87,0.821,10,33.141,Autumn,7.3,16.392,3,37.982
piped_protected,8.082,25.742,8.828,0.289,10,8.993,Autumn,7.749,16.23,3,32.945
river,3.986,23.747,5.794,0.838,3,10.744,Summer,5.993,11.231,3,71.329
canal,12.745,26.939,5.126,0.677,2,2.007,Winter,7.442,15.353,1,33.434
pond,10.322,27.574,8.308,0.987,6,10.238,Monsoon,7.824,2.769,0,14.433
canal,4.047,26.902,6.552,0.825,2,74.198,Winter,7.505,0.723,4,24.085
community_tank,14.06,22.016,6.342,0.202,11,134.616,Autumn,7.53,17.467,2,64.625
pond,10.461,28.428,9.143,0.449,4,4.802,Summer,8.108,12.407,1,36.907
river,10.146,23.965,6.598,0.104,5,8.686,Summer,7.047,20.49,2,50.402
community_tank,8.062,24.952,7.416,0.07,11,108.501,Autumn,7.916,22.237,0,69.99
shallow_well,0.115,18.374,4.583,0.706,8,13.887,Monsoon,7.245,14.129,1,39.411
piped_protected,11.924,23.608,6.885,0.913,12,20.374,Winter,7.539,0.007,3,18.255
