source_type,turbidity_NTU,rainfall_24h_mm,temperature_C,dissolved_oxygen_mgL,chlorine_mgL,month,fecal_coliform_MPN,season,pH,persons_with_symptoms,risk_percent
community_tank,3.901,4.47,21.998,5.861,0.077,7,14.019,Monsoon,6.952,3,24.209
piped_protected,8.636,6.409,25.168,10.296,0.506,3,79.803,Summer,7.269,2,31.962
reservoir,9.293,8.248,25.903,7.532,0.684,7,17.587,Monsoon,7.567,1,22.712
rooftop_rainwater,3.035,16.54,29.152,4.633,0.163,12,34.806,Winter,7.743,3,29.436
pond,8.639,2.111,23.594,7.153,0.421,11,43.403,Autumn,7.359,1,25.844
community_tank,7.815,20.537,26.206,4.842,0.569,8,38.561,Monsoon,6.998,2,26.878
spring,9.308,14.17,29.671,5.732,0.156,2,86.797,Winter,8.241,1,39.046
canal,2.458,12.825,25.672,7.16,0.27,1,157.451,Winter,7.455,4,40.946
community_tank,5.77,0.908,23.814,7.809,0.608,12,37.034,Winter,8.271,2,18.757
reservoir,2.745,0.219,26.711,3.215,0.725,6,82.021,Monsoon,7.471,4,41.593
reservoir,8.241,9.014,24.009,9.574,0.636,11,40.989,Autumn,7.534,3,29.123
rooftop_rainwater,0.053,19.888,26.013,6.012,0.714,9,38.818,Monsoon,8.026,2,20.56
pond,5.648,8.781,24.441,6.663,0.582,6,53.017,Monsoon,7.031,0,27.741
piped_protected,3.392,2.398,24.567,9.3,0.836,8,314.352,Monsoon,7.194,4,67.599
rooftop_rainwater,3.227,0.949,23.791,9.567,0.827,5,154.316,Summer,7.804,0,33.194
rooftop_rainwater,6.449,12.026,23.279,6.071,0.796,8,55.737,Monsoon,7.087,4,25.433
canal,8.515,12.793,27.982,8.595,0.575,4,31.296,Summer,8.158,1,24.156
deep_borehole,6.092,1.894,25.57,7.238,0.994,12,24.821,Winter,8.146,2,11.865
pond,8.532,0.286,28.821,10.982,0.039,12,30.003,Winter,7.035,1,28.479
shallow_well,2.646,5.247,18.249,5.99,0.196,6,78.176,Monsoon,7.5,3,38.43
rooftop_rainwater,5.195,8.74,23.441,9.475,0.809,8,36.806,Monsoon,8.024,0,27.851
deep_borehole,4.505,12.242,22.778,6.122,0.826,1,29.778,Winter,8.271,3,14.802
shallow_well,0.116,16.604,24.238,5.39,0.819,6,45.111,Monsoon,8.09,4,17.67
pond,5.568,9.43,21.904,6.545,0.873,8,33.396,Monsoon,7.027,0,20.717
open_catchment,6.615,1.175,20.178,4.539,0.423,5,29.527,Summer,7.629,3,23.668
spring,5.919,11.475,27.017,5.603,0.932,3,134.288,Summer,7.101,2,38.119
deep_borehole,7.363,41.463,23.22,6.52,0.209,12,22.452,Winter,7.642,2,22.534
river,5.713,23.601,26.667,6.62,0.937,5,10.652,Summer,7.759,4,22.533
open_catchment,0.668,20.531,21.465,8.375,0.557,3,43.561,Summer,7.609,3,18.982
reservoir,1.164,3.598,20.092,8.233,0.164,6,18.888,Monsoon,7.032,1,23.66
reservoir,5.965,13.895,25.724,6.947,0.736,6,29.907,Monsoon,7.351,3,20.514
spring,2.75,19.045,26.898,4.394,0.296,5,105.887,Summer,7.078,2,37.698
canal,0.796,11.342,23.153,3.798,0.22,7,74.528,Monsoon,7.421,3,41.617
community_tank,4.296,2.884,21.949,6.205,0.172,7,35.002,Monsoon,6.9,1,28.571
piped_protected,5.543,30.755,28.748,5.747,0.029,6,19.19,Monsoon,7.647,0,23.795
river,3.287,5.993,24.828,6.112,0.765,6,26.703,Monsoon,7.061,1,18.649
canal,7.204,1.39,22.006,9.433,0.487,4,1318.535,Summer,7.661,3,100.0
pond,6.438,1.163,20.509,6.089,0.979,4,219.16,Summer,7.499,2,60.431
canal,3.328,10.428,22.935,5.702,0.439,3,30.131,Summer,7.355,0,19.377
community_tank,7.549,5.757,23.817,6.995,0.843,10,53.348,Autumn,7.393,4,25.811
pond,6.487,0.993,27.289,6.22,0.968,7,3.005,Monsoon,8.238,3,14.79
river,6.374,13.485,24.95,7.896,0.022,12,25.638,Winter,7.998,1,26.119
community_tank,5.534,16.061,24.594,7.368,0.105,3,80.609,Summer,7.27,0,30.84
shallow_well,0.114,12.925,22.254,9.78,0.348,9,27.083,Monsoon,7.026,1,29.5
piped_protected,6.965,2.26,29.142,6.562,0.87,9,40.581,Monsoon,7.762,4,25.97
river,3.76,11.705,27.929,9.896,0.838,6,38.326,Monsoon,7.48,3,20.196
shallow_well,9.426,0.108,27.69,8.047,0.367,12,89.507,Winter,7.229,1,37.965
spring,8.18,3.64,24.817,7.796,0.2,7,6.594,Monsoon,7.754,1,23.159
river,5.877,5.089,26.203,4.017,0.802,3,16.91,Summer,7.032,8,21.188
spring,2.522,18.033,17.275,3.791,0.597,3,55.733,Summer,7.421,2,33.497
pond,2.037,4.949,25.607,4.585,0.032,12,16.582,Winter,7.298,1,24.182
shallow_well,3.404,0.113,30.769,7.32,0.804,1,122.456,Winter,7.486,1,36.203
piped_protected,4.766,4.344,23.259,8.131,0.957,11,28.784,Autumn,7.915,3,15.527
community_tank,2.961,6.91,22.043,7.802,0.042,6,6.196,Monsoon,9.181,0,100.0
