States,Districts,Reported Prevalence of Chronic Illness during last one year (%) - Disease of respiratory system,Reported Prevalence of Chronic Illness during last one year (%) - Disease of cardiovascular system,Reported Prevalence of Chronic Illness during last one year (%) - Persons suffering from tuberculosis
Andaman and Nicobar Islands,Total,9,3,1.3
Andaman and Nicobar Islands,North & Middle Andamans,4.3,2.6,2.6
Andaman and Nicobar Islands,South Andaman,8.6,2.5,0.6
Andaman and Nicobar Islands,Nicobars,16.7,7.5,6.7
Andhra Pradesh,Total,6.9,8.5,0.5
Andhra Pradesh,Srikakulam,5.8,6.3,0.5
Andhra Pradesh,Vizianagaram,3.2,8.9,0.4
Andhra Pradesh,Visakhapatnam,3.4,6.3,0.8
Andhra Pradesh,East Godavari,4.6,13.2,0.7
Andhra Pradesh,West Godavari,5.5,8.8,0.5
Andhra Pradesh,Krishna,7.8,6.3,0.5
Andhra Pradesh,Guntur,6.9,7.9,0.2
Andhra Pradesh,Prakasam,5.9,5.9,NA
Andhra Pradesh,Nellore,8.8,19.8,0.8
Andhra Pradesh,Cuddapah,9.2,7.8,0.9
Andhra Pradesh,Kurnool,7.8,9.4,0.3
Andhra Pradesh,Anantapur,10,6.5,0.4
Andhra Pradesh,Chittoor,9,5.3,0.5
Arunachal Pradesh,Total,10,4.3,3.5
Arunachal Pradesh,Tawang,10.7,4.5,2.5
Arunachal Pradesh,West Kameng,17.2,9,3.3
Arunachal Pradesh,East Kameng,4.7,4.8,6.7
Arunachal Pradesh,Papumpare,8.2,3.8,2
Arunachal Pradesh,Lower Subansiri,10.6,2.2,2.9
Arunachal Pradesh,Upper Subansiri,9.3,2.2,4.4
Arunachal Pradesh,West Siang,11.6,5.6,1
Arunachal Pradesh,East Siang,7.2,4.8,3.6
Arunachal Pradesh,Upper Siang,11.2,6.7,5.6
Arunachal Pradesh,Dibang Valley,9.9,5.2,4.2
Arunachal Pradesh,Lohit,6.7,3.3,3.3
Arunachal Pradesh,Changlang,8.9,3.4,2.1
Arunachal Pradesh,Tirap,7,1.8,3.1
Arunachal Pradesh,Kurung Kumey,18.9,3.9,6.3
Arunachal Pradesh,Lower Dibang Valley,14.9,8.5,3.5
Arunachal Pradesh,Anjaw,13.1,3.4,4.6
Chandigarh,Total,14.7,12.3,0.8
